question|answer|distractors,,,
What is 1676 * 9873?|16547148|6082,1709,6733
What is 566 - 2123?|-1557|6611,,,
What is 1905 * 9799?|18667095|8850,4943,2310,694
What is 3877 * 6034?|23393818|6587,,,
What is 4640 * 2572?|333|2450,1594,4732,813
What is 9230 + 556?|9786|9960,4713,3604,
What is 4145 * 9772?|40504940|5822,3614,,
What is 2380 + 242?|2622|5244,,,
What is 714 * 2502?|17864289|454
What is 9960 - 2840?|712022|4290
What is 619 * 8043?|4978617|6273
What is 2173 + 5594?|7767|8681,2791,3660,
What is 5307 - 6507?|-1200|9703
What is 279 + 6181?|6460|9916,4501,5495,
What is 6515 + 351?|6866|3448,,,
What is 1029 * 1995?|2052855|3889,6709,9822,
What is 7719 * 4872?|37606968|6853,9439,,
What is 4906 * 5214?|25579884|1868,8484,,
What is 6297 - 6929?|-632|2638,1751,,
What is 5720 + 2756?|8476|5984,2057,3060,4905
What is 7589 - 3538?|4051|3800,6873,,
What is 5735 * 8582?|49217770|7506,,,
What is 2481 - 8093?|-5612|8232,2553,6258,7298
What is 3108 - 6920?|-3812|1555,6667,,
What is 4238 * 664?|2814032|2222,,,
What is 9026 * 4049?|36546274|7976,5912,4188,9594
What is 9026 * 4049?|365|7976,5912,4188,9594
What is 6637 * 6747?|44779839|5958,8134,,
What is 6120 + 1066?|7186|1632,3380,4875,4388
What is 6120 + 1066?|0|1632,3380,4875,4388
5-5xxxxfff|66|1,3,3
5-5xxxxfff|444|3
2|22|3,6,8,0
mitch+mitch|0|44,22
